ID,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
788,CharlieBBucket,"Breast Cancer Survivor? Ex Cancer Researcher. Human GPA33 & p190 genes. Nature, Science & Wine Chemistry.  PayPal Link is https://t.co/nmBYTkgMYz",Latji Latji Traditional Lands,1477,1025,31983,0,"I’m reminded that Pfizer wasn’t available for category 1a in Mildura this year in May.  I had to leg it over to South Australia for my 1st shot, and got my 2nd one in Melbs.  I had both Pfizer shots before it was even rolled out in Mildura in late July. https://t.co/Rn0BqxU4CA",[]
789,LongDesertTrain,"Science & Physics Teacher; 
""Be ruthless with systems and be kind to people.""
Michael Brooks, 1983-2020",,1459,1617,12238,0,@jeffgilchrist I'd be interested to see NAb levels &gt;4 weeks out as the Pfizer-boost NAbs appear to be waning much faster than the AZ-boost NAbs. Is there a plausible immunological mechanism by which this would be expected? Does the adenovirus vector stimulate the immune system differently?,[]
790,deejammin_,some people feel the rain. others just get wet. 🇯🇲 ✈️ 🇯🇵 ✈️ 🇨🇦,SC: kittymckitster,258,285,20159,0,@Loganlandriaul3 @Redtrade21 @RMConservative @bobdeb90 This has been the topic of conversation tho whether Pfizer is causing more deaths than saving lives. Me bringing this up is everybody should be tested then because we don’t know if someone vaccinated has Covid in the legislator. She took the wildly acceptable test. It’s backward,[]
791,JayMckay11,"Christ follower in a world that needs Him more than ever.
""By your patience posses ye your soul."" -King of Kings
Gold, $FTM, $NEAR, $SAITO, $FSN, $DIVI",,313,69,2111,2380,"New Pfizer Punch Card Lets You Get Free Sub Sandwich Every 10th Booster
https://t.co/b6b9J72rWJ",[]
792,PlasticFanGeek,"As you can see... A Chelsea fan, but also a bit of a geek and a very proud dad.",,1367,366,1534,1071,"Remember to always ask this question:

If you introduce vaccine mandates, who will be legally responsible if there is a (rare) side effect? The PM? Ministers? Your boss? Your doctor? 

Because it won’t be Pfizer, Moderna or AZ (they were granted immunity by your government) https://t.co/1OZFcuwRtv",[]
793,ematikva,juste ce qu'il faut de matière grise pour comprendre l'arnaque.........autrement je suis folle....je fait des fautes d'orto...désolée!! follow back,je me demande encore?,866,745,5232,3360,"FDA in their virtual meeting yesterday: ""we were falsely mislead by (Pfizer) about the safety of the vaccine…Heart attacks are 71x higher than other vaccines…the vaccines are killing two people for every one life saved” listen from the 4 hr 20 mark. https://t.co/dxQ5WBwKDc",[]
794,ManDime_Whitie,Go Bucks!!! Tarah Lynn 9-4-2021💍👫💑,"Genoa, OH",911,357,16203,1366,"I totally believe this, given that we discovered “Omicron” last week. Sounds plausible they already conducted a study showing three shots of Pfizer is protective against it. https://t.co/MtNhZmFvKC",[]
795,labourblackrose,"Proud Grenadian 🇬🇩 mother and Grandmother. Ex Labour, Unite Community #JoinAUnion. JVL and PSC. 🇵🇸 solidarity to the oppressed worldwide","Hove, England",8907,9593,240626,0,Pfizer CEO predicts a fourth shot might be needed in light of omicron variant https://t.co/4BCPuHHcKx,[]
796,SaveRDemocrazy,All life matters. There are no small acts of kindness. #BLM #GoodTrouble #AnimalRights #HereRightMatters #NoPlanetB #ARepublicIfYouCanKeepIt All lies matter.,Alaska,10047,10012,244246,20,"Pfizer Provides Update on Omicron Variant https://t.co/pxpML3rvxh

Important: “As 80% of epitopes in the spike protein recognized by CD8+ T cells are not affected by the mutations in the Omicron variant, two doses may still induce protection against severe disease”",[]
797,joshman130,,,587,24,553,0,"@JOEL9ONE Pfizer 3 knocked me on my ass for 3 days, rly lethargic and tired.",[]
798,KaraAiello,"Social Worker, Dancer & member of American Dance Wheels Foundation, Amnesty International, Free Lance Writer for MobileWOMEN,  lover of travel and Italian food",near Philadelphia ,3996,1726,121086,3,Pfizer study shows booster shot protects against Covid-19 omicron variant. https://t.co/hxU3JZkzlx,[]
799,DirkDigglinator,🎹 MUSIC 🏀 SPORTS 🍺 BOOZE… That's How I Roll! 💿 Curator Extraordinaire @DigglinatorInc,,1362,1371,15270,0,"🎶 “And it's five, six, seven… Open up the pearly gates… Well there ain't no time to wonder why… Whoopee! We're all gonna die…” 🎶

“#Omicron Significantly Reduces #COVID Antibodies Generated By #Pfizer Vaccine, Study Finds”: https://t.co/1YB94jr1Ox https://t.co/nH9SsJoMvP","['Omicron', 'COVID', 'Pfizer']"
800,BooksMister,More books please! I prefer modern fiction. Like a good photo too.,The United Bookdom,54,6,126,0,@rtenews I'm 49. Got my Pfizer booster last Sunday. A week early. No complaints from me.,[]
801,MaheshR71279151,The definition of a turning point is a point in time when something happens that causes a shift or an irrevocable change in direction. An example of a turning p,,21,4,2361,0,"@ImranKhanPTI @BarrowPresident 05:12 Pm 09 December 2021
On 29 November, Pfizer CEO Albert Bourla said that Pfizer submitted an Emergency Use  needed] Also, Merc and Ridgeback are evaluating the anti–RNA virus drug molnupiravir for #omicron treatment.[50]
 https://t.co/4It34APkRN https://t.co/g80q8Njwz0",['omicron']
802,Texasgall,Give me Liberty or Give me Death/Constitutionalist/Jesus is King/PRO life/BS in Food and Nutrition/RD2BE /Patriot/SF wife/mom of 3/weightlifter @pragerFORCE,,1608,2002,34548,112,"It is hard to find a major antiviral “vaccine” that didn’t include killed or weakened viruses prior to Covid. 

But Moderna &amp; Pfizer got their mRNA therapeutics labeled “vaccines.”

Now, we know they don’t stop spread &amp; wear off rapidly despite two shots. This smacks of fraud. https://t.co/3BtoV1SSwk",[]
803,Cov3raa,,,466,377,50219,10,"""Look at profits Pfizer &amp; Moderna are making… To buy the ascent of basically all the networks, all you have to do is send a tiny percentage of your quarterly profits to a handful of news networks... The news business is so starved for revenue that they'll bend."" 

~ Matt Taibbi https://t.co/7YUiOS1iMU",[]
804,lost_in_NL,"😷💉🌈 
*stuck in NL 🇾🇪
*may contain traces of bitterness and sarcasm 
*she/her",,166,67,1165,0,"How to book a booster shot in Aachen, Germany.

*everyone over the age of 18 is eligible 5 months after the second shot
*nationality or insurance status won't matter
*over 30s will get a Moderna shot, under 30s Pfizer
*it can be done with or without an appointment

1/6",[]
805,susanmc70244621,Happy person,"Sydney, New South Wales",339,143,1410,0,"Idiots , where's the sanity in continuing shoving Pfizer drugs in babies and children after this disaster . Mad dogs #auspol

https://t.co/So7GZtahO1",['auspol']
806,jjaranaz94,,,398,177,239554,35,"""En 'stand-by(e)'"" (#TEVDAdeVerano):

https://t.co/OqJWFKOCTI

#EstadoDeAlarma #ToqueDeQueda #Mascarilla #Covid19 #Covid_19 #COVIDー19 #Confinamiento #Coronavirus #Covid #Vacuna #Vaccine #AstraZeneca #Pfizer #Moderna @TrasElValle_OBC #FelizJueves #Tokyo2020 #DiaMundialDelCerebro https://t.co/6cQexxdSxe","['TEVDAdeVerano', 'EstadoDeAlarma', 'ToqueDeQueda', 'Mascarilla', 'Covid19', 'Covid_19']"
807,RaveRamsey,Wagie Wagie Might Go Crazy,,19,0,23,139,"Pfizer isn’t releasing vaccine info for 75 years

Maxwell trials updates are censored

Pelosi and Fed members insider trading in front of our eyes.

But the people that use critical thinking are labeled conspiracy theorists.

When does it stop? Where do we go from here?",[]
808,johnjdillard,"Retired Social Sciences Librarian. Previously employed for 25+ years at The University of Texas, Arlington.","Lives in Fort Worth, Texas",3746,167,1972,3768,"The new data from Pfizer on vaccine effectiveness against Omicron is encouraging. This reinforces what my medical advisors have been emphasizing: that boosters give you the highest protection yet.

Anyone who is eligible and has not been boosted should go get a booster today.",[]
809,shearknado,발이 넓다 🌚 Jacksonville Jaguars sufferer 🐆 YOOOOOO DREAM! ✌️,4th down inside our own half,312,922,41447,0,2023: Sources suggest that 27 doses of the Pfizer vaccine protect against the OoGhiJ MIQtxxXA variant,[]
810,shomoyogu,"Prea mult info strica, sincer!",Bucharest,1357,680,10566,1,#BigPharma has a long history of corruption and lies and it goes way back 👇👇👇💥💥💥☠️💉☠️💉#SCAMDEMIC #BillGates #Pfizer https://t.co/Fcctt5Lzwo,"['BigPharma', 'SCAMDEMIC', 'BillGates', 'Pfizer']"
811,TroyGonsalves,I help professionals pivot out of positions that bring little fulfillment in their work-life and move them towards their life's work | Question Expert,"Toronto, Ontario",704,326,6589,233,"If you are still waiting breathlessly for Pfizer's latest claims of the effectiveness of its product, and greet with relief every announcement of their discovery that you need more of its product, something has gone wrong in your critical thinking skills. https://t.co/Vg7vCxr5Og",[]
812,lizhutson1,Nutritional therapist with special interest in women's health and anti-ageing,,190,317,10797,0,"@Alex_Stafford But Pfizer would tell you it isn't the right thing to do if they understood their own report and studies. ARR of .95% and 1223 deaths, not including 270 spontaneous abortions in 3mo. Minimum. Read it and educate yourself for the sake of your citizens. https://t.co/wyoAPW5IGD",[]
813,saintangelo,Author of America's Republican Form of Government (2017) and BUSTED - A Whistleblower's Guide to the War on Drugs (2015). Witness to 54 Indy500s.,,3168,1521,39971,2380,"New Pfizer Punch Card Lets You Get Free Sub Sandwich Every 10th Booster
https://t.co/b6b9J72rWJ",[]
814,CNBCPro,Subscribe to access live business day coverage and actionable insights to power your investing strategies. Get a free trial: https://t.co/r8ml7cCquP,,131,23752,9617,0,"Wells initiates Pfizer at overweight, says Covid treatments are here to stay https://t.co/9837pusGDS",[]
815,andreaketchum,"Medical Librarian, MS-HIM Emeritus. Systematic reviews, medical informatics, environment, scholarly comm, data mgmt. Follow my new list Climate Change & Health.",Pittsburgh & Traverse City,2021,1147,8684,0,"Early studies: #Omicron only stopped by #Boosters, not  #NaturalImmunity or #FirstVaccination. #Mandates only way to stop endless cycle of #MutatingVirus.  https://t.co/ZX6krC0doN","['Omicron', 'Boosters', 'NaturalImmunity', 'FirstVaccination', 'Mandates', 'MutatingVirus']"
816,jjaranaz94,,,398,177,239554,48,"""#PedaZitosDeVuelta (III)"" con #RaquelEspuelas:

https://t.co/ouLWfsA5ZD

#EstadoDeAlarma #FinToqueDeQueda #Covid19 #Covid_19 #COVIDー19 #Confinamiento #Coronavirus #Covid #Vacuna #Vaccine #AstraZeneca #Pfizer #Moderna #Janssen @TrasElValle_OBC #FelizJueves #DiaMundialDeLaTapa https://t.co/zkYiZjTrEU","['PedaZitosDeVuelta', 'RaquelEspuelas', 'EstadoDeAlarma', 'FinToqueDeQueda', 'Covid19']"
817,SamIAm13280391,"“Unless someone like you cares a whole awful lot,
Nothing is going to get better. It's not.”
― Dr. Seuss, The Lorax",,268,172,2100,0,"@cnjohanssen @bernerlap Pfizer did nothing wrong. 

https://t.co/gyeXNsSxJV https://t.co/gT6rijZ1Y3",[]
818,fenrir_the_last,"The pen is a lot lighter than the sword anyways..maybe.. ,P",,1996,1014,31707,20,"Dr Jane Ruby, [Dec 6, 2021 at 09:50]
Pfizer Chief Marketing Offcr

THEY WILL LIE TO YOUR FACE

THEY’RE KILLING OUR KIDS &amp; OUR MILITARY https://t.co/p3YTQfrxVa",[]
819,nomad2003,"Very conservative, help others who really need help, father, grandfather &great grandfather #MAGA #resistbiden make see ya here Tbclark7 @ parler, nomad2003 gap","Ocala/Orlando, Florida",1825,1355,59418,2969,"Texas Father Who Lost 16-Year-Old Son to the Pfizer Vaccine

""My government lied to me""
 https://t.co/wAUfSg6Cem",[]
820,mcgloin_james,,,353,126,42704,2532,"The FDA saying it needs 75 years to fully release vaccine data is not a great way to sell the vaccine to those who are skeptical. Why on earth would it take this long?

FDA Says It'll Take 75 Years to Fully Release Pfizer Vaccine Data https://t.co/zDWxmxjtlz",[]
821,DUDe28357136,"Vaks pushers blocked on sight. 
Don't Talk to me on a personal level, ptsd! #InvestigateBiden",,1543,617,40898,21,"""Drug Regulators the World Over have allowed Pfizer to cherry pick data in the process of getting emergency approval for these new covid vaccines"" Dr Robert Malone.",[]
822,KaraAiello,"Social Worker, Dancer & member of American Dance Wheels Foundation, Amnesty International, Free Lance Writer for MobileWOMEN,  lover of travel and Italian food",near Philadelphia ,3996,1726,121086,3,"Pfizer has shared that its first two vaccines do not hold up well against the emerging omicron variant. However, the third shot, the booster, provides 25 times the protection against omicron. https://t.co/QTOPczF3kI",[]
823,PhDole,"Grew up on a bog amongst sheep, newts and the occasional fox. Since I left the bog things have not improved",United Kingdom,1069,432,12477,0,"@rafaelbehr Two AZ and a Pfizer booster. Had side-effects - what seemed like a mild flu - from first AZ, but after that nothing at all.",[]
824,FR33D0M101,Add your profile.,Portugal ,4810,1074,19491,843,"Suffering crushing chest pains hours after taking Pfizer, 22-yr-old Ange Savini of Melbourne was rushed to hospital to learn she’d suddenly developed pericarditis, tachycardia &amp; arrhythmia. 
“The doctor said it was normal these days for people my age as they’d seen many cases.” https://t.co/NFdJFNq113",[]
825,JustCur47869529,Welcome to all who care and love our #Nature #Oceans #Music #Photography #Art #Books 🌹,,959,705,26128,100,"@Virg21Nicholls Hi Virginia I have been diagnosed with pericarditis post Pfizer, I am 31 years old. Happy to tell my story to anyone who will listen. My sister has pericarditis also. My brother in law has myocarditis and pericarditis and my other brother in law has pericarditis. I can keep going",[]
826,Jucinto_HD,Recluse 🛸,,45,42,3394,3768,"The new data from Pfizer on vaccine effectiveness against Omicron is encouraging. This reinforces what my medical advisors have been emphasizing: that boosters give you the highest protection yet.

Anyone who is eligible and has not been boosted should go get a booster today.",[]
827,radialanalytics,,,263,69,1343,0,"Omicron was able to elude two doses of the Covid-19 vaccine from Pfizer and BioNTech in initial lab testing, but three doses neutralized the variant, the companies said https://t.co/zmpbYJXLFn",[]
828,arusakow,,,357,255,194876,531,"Preliminary lab studies show two doses of the Pfizer/BioNTech vaccine may not provide sufficient protection against the Omicron coronavirus variant, but three doses are able to neutralize it, the companies said in a news release. https://t.co/VtsVe1Vdwe",[]
829,Trevor10934834,Sport Local News Government Politics Music Football,"Newcastle, South Africa",3149,904,1648,92,"Guys injury is temporary. Groove is forever. 😂😂😂🔥🔥🔥

Zahara &gt; G-string &lt; Pfizer &gt; Skhumba https://t.co/KCSrvSVv3X",[]
830,nupurmodi20,"Accountant, Spiritual Healer, Proud to be Indian, Believe in Sanatan Dhram.","Ahmadabad City, India",398,291,68385,17,"Drug major #Pfizer has been accused of paying experts to say that AstraZeneca's jab would cause cancer and won't be suitable for use in the case of immunosuppressed patients

https://t.co/dCzLLi3qPQ",['Pfizer']
831,be_better22,#1john3:18,United States,545,176,24221,112,"It is hard to find a major antiviral “vaccine” that didn’t include killed or weakened viruses prior to Covid. 

But Moderna &amp; Pfizer got their mRNA therapeutics labeled “vaccines.”

Now, we know they don’t stop spread &amp; wear off rapidly despite two shots. This smacks of fraud. https://t.co/3BtoV1SSwk",[]
832,AttorneyAtMoo,Dumb is putting the milk in the cupboard by mistake. Stupid is arguing that it's supposed to be there.,"Law Offices of Galloway, Charolais & Lakenvelder",106,63,12003,683,"BREAKING: over 120 students now hospitalized in Vietnam after getting injected with the Pfizer vaccine. The students, aged 15-17, are suffering severe reactions, including nausea, high fever, and problems breathing, according to the local CDC.",[]
833,Kathryn95956387,"I am an honest and good christian who loves being surrounded by family, friends and holidays.",,38,1,16,1,Via @euronews: Pfizer says COVID booster offers protection against Omicron https://t.co/zQCTPlcXQ4,[]
834,davidmatheson27,"..older Conservative Australian! Transfinancial! Comments without prejudice! Retired, the Grey Eight doesnt gossip!",Australia,2145,2284,405350,9,"Gerard Rennick says Pfizer for children completely irresponsible. (PM trying to rein him in now).
https://t.co/40UDkZnBHj https://t.co/v1r9rYxwfl",[]
835,Keefspark,,,33,14,2546,0,"@DonnachadhMc So the rush to get Pfizer into our arms is pointless or is it just to use it up before the use by date?
Any news on the effects of mix and match, AZ and then Pfizer?",[]
836,DangelAngello,"Keyworker, opinionated atheist scruff, and writer of #ToxicCity https://t.co/Q4jjRd4OZ0 
audible https://t.co/6do5nv9F96🔞 #mercymain #bealertnotanxious","Middlesbrough, England",921,1348,79465,0,@McKennaOBX12 @Telegraph The Moderna vaccine is normally given in a greater quantity. I believe it's 100mc when pfizer is 50mc.,[]
837,weebbtc,‏‏‏‏مهتم بالتجاره والاستثمار | محتوى memes واخبار وبعض من العشوائيه,,260,379,3085,1,"2021: Vaxxed vs Non vaxxed
2022: Boosted vs Unboosted

https://t.co/B0z59k1xLC",[]
838,RantingRhino,"Husband; Father; Cynic; Leader; Follower; Opinionated.
I'm going to say it, whether it needs saying or not - but only here.","Lubbock, TX",113,44,2502,0,Unbelievable... Where is the professional skepticism? Of course Pfizer thinks three is better than two - they have financial incentive to think that way. https://t.co/K8yEFuo3op,[]
839,NFernandesSerra,🇵🇹🇬🇧 | Journalist. Lead writer at @TLDRNewsEU. Writer at @TLDRNewsUK. PPE at @UniofOxford. Specialism in European political economy. Views my own.,Oxford,640,125,1001,0,"@rafaelbehr Didn’t have Pfizer but had a Moderna booster after 2 AZ doses, and that really really hit me for six. 

Couldn’t leave the bed the entirety of the day after, and felt like the real thing.",[]
840,liz_agriphobia,making an attempt to make a living in the Burren. She/her,"Clare, Ireland",1225,575,9012,30,"“Having looked at all the evidence, I would be more than happy to give it to my child or my grandchild in that age group”

Prof Karina Butler, Chair of NIAC, speaks to @ZaraKing on the approval of the Pfizer vaccine for 5-11 year olds

#TonightVMTV https://t.co/krj6GnXwU7",[]
841,zolaism,into biospheric homeostasis,earth,1704,413,23678,0,"Covid-19 live updates: Omicron may require fourth vaccine dose, Pfizer says  https://t.co/MF3d394mHR",[]
842,devanathan32,"RT's&likes are not endorsements; 

நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும்
 வான்இன்று அமையாது ஒழுக்கு.",,153,286,70849,17,"Drug major #Pfizer has been accused of paying experts to say that AstraZeneca's jab would cause cancer and won't be suitable for use in the case of immunosuppressed patients

https://t.co/dCzLLi3qPQ",['Pfizer']
843,IainKewley,"Half Manx/Scottish lives in IOM. Paraplegic retd GP, and a lot of other health roles & now doing health informatics yet again. Tweets in personal capacity.",Isle of Man,859,572,722,0,@ManxDunners Either Pfizer or Moderna I think. Ours was Pfizer (having had 2AZ),[]
844,LiteBitCo,"Husband, Father, Architect, #Bitcoin '...Everyone should be quick to listen, slow to speak and slow to become angry,' - James 1:19 - https://t.co/tZoAncy0ZM",United States,1276,1010,2548,637,The eight top Pfizer and Moderna shareholders made over $10 billion last week when their stock holdings skyrocketed after the discovery of the new Omicron variant. https://t.co/VFrdTfsF6T,[]
845,Sir_Pixels,"Trust me you won't find what you looking for here... 😂😂😂

I speak my mind, my opinion, my views, my beliefs. better yet I'm open minded.
I dnt use emotion,",traveller,4891,4546,13379,4014,"Dr Ugur Sahin CEO of BioNTech and inventor of the BIO N TECH Pfizer jab refuses to take the jab for safety reasons 

WAKE UP! https://t.co/dmmcP4lI2D",[]
846,JohnDoe8252,"Indigenous Australian. I live in a bush town with 0 Covid. Had all my vaccines except Mrna NO. Covax19 YES. I will not comply. Catholic. Read, read, read. #OKC",,942,356,8064,3,"@theysayitsrare Mother in law, 80, was medicine and pain free for over a year. Got sick after 2nd Pfizer shot, eyes were clocked, weird body pains. Went to docter and now she’s on meds again. She will not booster anymore! 👍🏼 Asked the doc about relation with vaxx but he stayed silent. 🙄",[]
847,ericekoja,@Lakers @Hornets @LFC @FCBarcelona 🇦🇱🇽🇰,NW London,431,418,16772,9,"@zerohedge 3 days for Pfizer to whip up a vax for Omnicron but 75 years for the FDA to release Pfizer data , nothing to see here",[]
848,MarkJohnA1,,,668,478,17094,57,"Wodonga mother of two Sandy thought she was having a heart attack after her second Pfizer vaccine. Diagnosed with pericarditis, 4 weeks later she’s still too ill to work.
“I still have body shakes, dizziness, chest tightness, difficulty breathing. Every day’s a massive struggle.” https://t.co/2xN5TsqBbo",[]
849,klaust1,,Melbourne,533,275,41323,360,"The Liberal and National parties have become the natural home of far right, anti-vacc, nut jobs. Together with  the Murdoch media. Bottom line: together they legitimise anti-science, vaccine hesitancy which threatens the health of all Australians.  https://t.co/5c5qpVTL8G",[]
850,godblesstoby,I bless the rains,,218,3118,275,0,@Bruschetta_Boy Same here. Pfizer CEO is certain of it and that’s good enough for me.,[]
851,Tillett4CT,"Conservative Matriarch Running for State Senate 2nd Dist Hartford, Windsor, Bloomfield - Families First - CT We Can Do Better",CT,4864,1921,103148,1,@libsoftiktok 👏  I wonder if “Team Pfizer” will drop her too 🤣,[]
852,Chifundokadula1,I believe in consciousness and humanity.I don't believe in supremacy.,,3927,1522,3263,24,"JUST IN: Teenagers between 12-17 years old are eligible for a second #COVID19 dose as of today. Teens who got there dose 42 days again, are eligible now for a second dose. It’s the same #Pfizer vaccine administered in adults. #eNCA",['COVID19']
853,Hoochy_Mumma,Mostly ASX small caps.,,65,24,137,291,Kevin Rudd is paid by an organization who is supported by Pfizer. Next time you want to promote their interests over the health of the Australian people be sure to disclose your conflict of interest Kevin. #auspol https://t.co/RHWmHm3p2G,[]
854,Fortunate__,Let's do this!,South Africa 🇿🇦,7493,12463,17161,104,Disclosing Pfizer vaccine data ‘may now take until 2096’ https://t.co/lIX1QKe56F,[]
855,tommymckay2,"32 love my family & dundee united and kicks a football for Partick Thistle Amputees, Scotlands only amputee team",monifieth,2598,952,6012,0,@nmwgreen I had AZ for the 1st &amp; 2nd but Pfizer for the booster.,[]
856,CarlSaganPaleBD,,"England, United Kingdom",3009,468,25716,608,Sure feels good to be fully boosted given new Pfizer news today that 3 doses provide strong protection against Omicron covid variant!💪,[]
